Module,Endpoint,Method,Path,Description,Status,Implementation,Authentication,Permissions,Parameters,Response_Format,Error_Handling,Rate_Limiting,Documentation,Testing_Status,Last_Updated,,,
Authentication,User Login,POST,/api/v1/auth/login,User login with credentials,Implemented,Complete,Not Required,None,email (string), password (string),JSON,400/401/500,Yes,Documented,Tested,12/1/2024,,
Authentication,User Logout,POST,/api/v1/auth/logout,User logout,Implemented,Complete,Required,None,None,JSON,401/500,Yes,Documented,Tested,12/1/2024,,,
Authentication,Refresh Token,POST,/api/v1/auth/refresh,Refresh authentication token,Implemented,Complete,Required,None,refreshToken (string),JSON,401/500,Yes,Documented,Tested,12/1/2024,,,
Authentication,Enable 2FA,POST,/api/v1/auth/2fa/enable,Enable two-factor authentication,Implemented,Complete,Required,None,None,JSON,401/500,Yes,Documented,Tested,12/1/2024,,,
Authentication,Verify 2FA,POST,/api/v1/auth/2fa/verify,Verify two-factor authentication code,Implemented,Complete,Not Required,None,code (string),JSON,400/401/500,Yes,Documented,Tested,12/1/2024,,,
Authentication,Password Reset,POST,/api/v1/auth/password/reset,Request password reset,Implemented,Complete,Not Required,None,email (string),JSON,400/500,Yes,Documented,Tested,12/1/2024,,,
Authentication,Change Password,POST,/api/v1/auth/password/change,Change user password,Implemented,Complete,Required,None,currentPassword (string), newPassword (string),JSON,400/401/500,Yes,Documented,Tested,12/1/2024,,
Dashboard,Dashboard Overview,GET,/api/v1/dashboard/overview,Get dashboard overview metrics,Implemented,Complete,Required,dashboard.view,None,JSON,401/500,Yes,Documented,Tested,12/1/2024,,,
Dashboard,Key Performance Indicators,GET,/api/v1/dashboard/kpis,Get key performance indicators,Implemented,Complete,Required,dashboard.view,None,JSON,401/500,Yes,Documented,Tested,12/1/2024,,,
Dashboard,Dashboard Analytics,GET,/api/v1/dashboard/analytics,Get dashboard analytics data,Implemented,Complete,Required,dashboard.view,None,JSON,401/500,Yes,Documented,Tested,12/1/2024,,,
Dashboard,User Notifications,GET,/api/v1/dashboard/notifications,Get user notifications,Implemented,Complete,Required,dashboard.view,None,JSON,401/500,Yes,Documented,Tested,12/1/2024,,,
CRM,Get All Leads,GET,/api/v1/crm/leads,Get all leads with filtering,Implemented,Complete,Required,crm.view,limit (number), offset (number), search (string), status (string),JSON,401/500,Yes,Documented,Tested,12/1/2024
CRM,Create Lead,POST,/api/v1/crm/leads,Create new lead,Implemented,Complete,Required,crm.create,leadData (object),JSON,400/401/500,Yes,Documented,Tested,12/1/2024,,,
CRM,Get Lead by ID,GET,/api/v1/crm/leads/:id,Get lead by ID,Implemented,Complete,Required,crm.view,id (string),JSON,401/404/500,Yes,Documented,Tested,12/1/2024,,,
CRM,Update Lead,PUT,/api/v1/crm/leads/:id,Update lead information,Implemented,Complete,Required,crm.update,id (string), leadData (object),JSON,400/401/404/500,Yes,Documented,Tested,12/1/2024,,
CRM,Delete Lead,DELETE,/api/v1/crm/leads/:id,Delete lead,Implemented,Complete,Required,crm.delete,id (string),JSON,401/404/500,Yes,Documented,Tested,12/1/2024,,,
CRM,Convert Lead,POST,/api/v1/crm/leads/:id/convert,Convert lead to customer,Implemented,Complete,Required,crm.convert,id (string), conversionData (object),JSON,400/401/404/500,Yes,Documented,Tested,12/1/2024,,
CRM,Get All Customers,GET,/api/v1/crm/customers,Get all customers with filtering,Implemented,Complete,Required,crm.view,limit (number), offset (number), search (string), segment (string),JSON,401/500,Yes,Documented,Tested,12/1/2024
CRM,Create Customer,POST,/api/v1/crm/customers,Create new customer,Implemented,Complete,Required,crm.create,customerData (object),JSON,400/401/500,Yes,Documented,Tested,12/1/2024,,,
CRM,Get Customer by ID,GET,/api/v1/crm/customers/:id,Get customer by ID,Implemented,Complete,Required,crm.view,id (string),JSON,401/404/500,Yes,Documented,Tested,12/1/2024,,,
CRM,Update Customer,PUT,/api/v1/crm/customers/:id,Update customer information,Implemented,Complete,Required,crm.update,id (string), customerData (object),JSON,400/401/404/500,Yes,Documented,Tested,12/1/2024,,
CRM,Delete Customer,DELETE,/api/v1/crm/customers/:id,Delete customer,Implemented,Complete,Required,crm.delete,id (string),JSON,401/404/500,Yes,Documented,Tested,12/1/2024,,,
CRM,Get Customer Contacts,GET,/api/v1/crm/customers/:id/contacts,Get customer contacts,Implemented,Complete,Required,crm.view,id (string),JSON,401/404/500,Yes,Documented,Tested,12/1/2024,,,
CRM,Get Customer Opportunities,GET,/api/v1/crm/customers/:id/opportunities,Get customer opportunities,Implemented,Complete,Required,crm.view,id (string),JSON,401/404/500,Yes,Documented,Tested,12/1/2024,,,
