Module,Component,File_Path,Type,Status,Features,Technologies,Database,API_Endpoints,Security,Performance,Last_Updated
Server,Main Server,server/index.js,Server,Complete,Express server,Node.js,Express,JSON Database,138 endpoints,JWT,Rate Limiting,2024-12-01
Database,Database Service,server/database.js,Service,Complete,JSON database,Node.js,File-based,CRUD operations,Authentication,Optimized,2024-12-01
Database,Prisma Schema,prisma/schema.prisma,Schema,Complete,Database schema,Prisma,SQL Server,ORM mapping,Constraints,Indexed,2024-12-01
Database,SQLite Database,src/lib/database.sqlite.ts,Service,Complete,SQLite integration,SQLite,SQLite,Local storage,Encryption,Fast queries,2024-12-01
Database,Database Utils,src/lib/database.ts,Utility,Complete,Database utilities,TypeScript,Multiple,Connection mgmt,Validation,Optimized,2024-12-01
Database,Seed Data,src/lib/seedData.ts,Data,Complete,Sample data,TypeScript,JSON,Test data,Sanitized,Validated,2024-12-01
Database,Healthcare Data,src/lib/healthcareSeedData.ts,Data,Complete,Healthcare data,TypeScript,JSON,Medical data,Compliant,Validated,2024-12-01
API,API Routes Config,src/config/apiRoutes.ts,Configuration,Complete,API routes,TypeScript,None,138 routes,Auth required,Documented,2024-12-01
API,API Service,src/services/apiService.ts,Service,Complete,HTTP client,TypeScript,Axios,All endpoints,Token mgmt,Retry logic,2024-12-01
API,Database Service,src/services/databaseService.ts,Service,Complete,Database operations,TypeScript,Multiple,CRUD APIs,Validation,Optimized,2024-12-01
API,Error Logging,src/services/errorLoggingService.ts,Service,Complete,Error handling,TypeScript,Winston,Logging API,Secure,Monitored,2024-12-01
API,File Service,src/services/fileService.ts,Service,Complete,File operations,TypeScript,Multer,Upload API,Validation,Compressed,2024-12-01
API,JSON Database,src/services/jsonDatabaseService.ts,Service,Complete,JSON operations,TypeScript,JSON,File API,Validation,Fast I/O,2024-12-01
API,Lead Service,src/services/leadService.ts,Service,Complete,Lead management,TypeScript,Database,Lead APIs,Validation,Optimized,2024-12-01
API,MSSQL Service,src/services/mssqlService.ts,Service,Complete,SQL Server,TypeScript,MSSQL,DB APIs,Encryption,Pooled,2024-12-01
API,Performance Service,src/services/performanceService.ts,Service,Complete,Performance monitoring,TypeScript,None,Metrics API,Caching,Optimized,2024-12-01
API,Search Service,src/services/searchService.ts,Service,Complete,Search functionality,TypeScript,Database,Search API,Validation,Fast search,2024-12-01
API,Security Service,src/services/securityService.ts,Service,Complete,Security features,TypeScript,None,Security API,Encryption,Monitored,2024-12-01
API,User Service,src/services/userService.ts,Service,Complete,User management,TypeScript,Database,User APIs,Auth,Optimized,2024-12-01
API,WebSocket Service,src/services/websocketService.ts,Service,Complete,Real-time communication,TypeScript,WebSocket,Real-time API,Secure,Fast,2024-12-01
Authentication,JWT Authentication,server/index.js,Middleware,Complete,JWT tokens,Node.js,None,Auth endpoints,Encrypted,Fast,2024-12-01
Authentication,Password Hashing,server/index.js,Utility,Complete,Password security,bcrypt,None,Hash API,12 rounds,Secure,2024-12-01
Authentication,Session Management,server/index.js,Service,Complete,User sessions,Node.js,Database,Session API,Secure,TTL,2024-12-01
Authorization,RBAC System,server/index.js,Middleware,Complete,Role-based access,Node.js,Database,Permission API,Granular,Fast,2024-12-01
Authorization,Permission Matrix,src/config/rbac.ts,Configuration,Complete,Permissions,TypeScript,None,Permission API,Validated,Optimized,2024-12-01
Security,Rate Limiting,server/index.js,Middleware,Complete,Request limiting,express-rate-limit,None,Limit API,Protected,Configurable,2024-12-01
Security,CORS Protection,server/index.js,Middleware,Complete,Cross-origin,Node.js,None,CORS API,Configured,Secure,2024-12-01
Security,Helmet Security,server/index.js,Middleware,Complete,Security headers,Helmet,None,Header API,Protected,Standard,2024-12-01
